roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;53;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;-1;0;0;[2];21;1;True;;0;EC:Task: T = A(*)+B;{' WC Name: A=0,B=-1,C=N '};;{0, 21};{0, 7}
2;2;Player 0;53;0;0;0;[0];30;0;True;;0;EC:Resource: Bazar;;;{0, 21, 30};{0, 7}
2;3;Player 1;25;-1;0;0;[2];6;0;True;;0;EC:Input:A =25;;;{0, 21, 30, 6};{0, 7}
3;4;Player 0;10;0;0;0;;5;0;True;;0;EC:Input:A =10;;;{0, 5, 6, 21, 30};{0, 7}
3;5;Player 1;25;-1;0;0;[2];20;1;True;;0;aEC:Task: T += A+B;{' WC Name: T =xx00 '};;{0, 5, 6, 20, 21, 30};{0, 6, 7}
4;6;Player 0;10;16;0;0;[2];1;1;True;;0;EC:Input:2 digit number<50;"{' WC Name: C=NULL; '}";;{0, 1, 5, 6, 20, 21, 30};{0, 2, 6, 7}
4;7;Player 1;25;30;0;0;[2];12;0;True;;0;EC:Input:B =30;;;{0, 1, 5, 6, 12, 20, 21, 30};{0, 2, 6, 7}
5;8;Player 0;50;16;0;0;[2];7;0;True;;0;EC:Input:A =50;;;{0, 1, 5, 6, 7, 12, 20, 21, 30};{0, 2, 6, 7}
5;9;Player 1;25;0;0;0;[3];27;2;True;['CPU1Captured'];0;EC:Task: x = 2x ! total;"{' WC Name: Capture CPU ', ' WC Name: B,C=0; '}";;{0, 1, 5, 6, 7, 12, 20, 21, 27, 30};{0, 2, 3, 5, 6, 7}
6;10;Player 0;50;16;0;0;[2];33;0;True;;0;EC:Resource: Restart;;;{0, 1, 33, 5, 6, 7, 12, 20, 21, 27, 30};{0, 2, 3, 5, 6, 7}
6;11;Player 1;25;0;0;0;[3];0;0;False;['CPU1Captured'];1;;;;{0, 1, 33, 5, 6, 7, 12, 20, 21, 27, 30};{0, 2, 3, 5, 6, 7}
