roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;64;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;5;0;;15;0;True;;0;EC:Input:C =5;;;{0, 15};{0}
2;2;Player 0;25;0;0;0;;6;0;True;;0;EC:Input:A =25;;;{0, 6, 15};{0}
2;3;Player 1;0;10;5;0;;10;0;True;;0;EC:Input:B =10;;;{0, 10, 6, 15};{0}
3;4;Player 0;25;-10;0;9;;23;1;True;;0;EC:Task: T = xx9x;{' WC Name: B=-10 '};;{0, 6, 10, 15, 23};{0, 8}
3;5;Player 1;0;10;5;0;;32;0;True;;0;EC:Resource: Restart;;;{0, 32, 6, 10, 15, 23};{0, 8}
4;6;Player 0;25;-10;0;9;;31;0;True;;0;EC:Resource: Restart;;;{0, 32, 6, 10, 15, 23, 31};{0, 8}
4;7;Player 1;0;10;5;0;;20;1;True;;0;aEC:Task: T += A+B;{' WC Name: T =xx00 '};;{0, 32, 6, 10, 15, 20, 23, 31};{0, 8, 6}
5;8;Player 0;0;-1;0;9;[2];1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: A=0,B=-1,C=N '};;{0, 32, 1, 6, 10, 15, 20, 23, 31};{0, 8, 6, 7}
5;9;Player 1;0;10;25;0;;17;0;True;;0;EC:Input:C =25;;;{0, 1, 32, 6, 10, 15, 17, 20, 23, 31};{0, 8, 6, 7}
6;10;Player 0;0;20;0;9;[2];11;0;True;;0;EC:Input:B =20;;;{0, 1, 32, 6, 10, 11, 15, 17, 20, 23, 31};{0, 8, 6, 7}
6;11;Player 1;10;10;25;0;;5;0;True;;0;EC:Input:A =10;;;{0, 1, 32, 5, 6, 10, 11, 15, 17, 20, 23, 31};{0, 8, 6, 7}
7;12;Player 0;0;20;75;9;[1];19;1;True;;0;EC:Input:C =75;"{' WC Name: B=NULL; '}";;{0, 1, 32, 5, 6, 10, 11, 15, 17, 19, 20, 23, 31};{0, 1, 6, 7, 8}
