roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;27;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;50;0;0;0;;7;0;True;;0;EC:Input:A =50;;;{0, 7};{0}
2;2;Player 0;25;0;0;0;;6;0;True;;0;EC:Input:A =25;;;{0, 6, 7};{0}
2;3;Player 1;50;30;0;0;;12;0;True;;0;EC:Input:B =30;;;{0, 12, 6, 7};{0}
3;4;Player 0;10;0;0;0;;5;0;True;;0;EC:Input:A =10;;;{0, 5, 6, 7, 12};{0}
3;5;Player 1;50;0;0;0;;14;1;True;;0;EC:Input:B =70;"{' WC Name: B,C=0; '}";;{0, 5, 6, 7, 12, 14};{0, 3}
4;6;Player 0;10;0;25;0;;17;0;True;;0;EC:Input:C =25;;;{0, 5, 6, 7, 12, 14, 17};{0, 3}
4;7;Player 1;75;0;0;0;;8;0;True;;0;EC:Input:A =75;;;{0, 5, 6, 7, 8, 12, 14, 17};{0, 3}
5;8;Player 0;10;2;25;0;;3;0;True;;0;EC:Input:2 digit number<30;;;{0, 3, 5, 6, 7, 8, 12, 14, 17};{0, 3}
5;9;Player 1;75;0;0;0;;34;0;True;;0;EC:Resource: Restart;;;{0, 34, 3, 5, 6, 7, 8, 12, 14, 17};{0, 3}
6;10;Player 0;0;-1;25;12;[2];21;1;True;;0;EC:Task: T = A(*)+B;{' WC Name: A=0,B=-1,C=N '};;{0, 34, 3, 5, 6, 7, 8, 12, 14, 17, 21};{0, 3, 7}
6;11;Player 1;75;-10;0;-63;;24;2;True;;0;EC:Task: T += sum all/2;{' WC Name: B=-10 ', ' WC Name: T -=100 '};;{0, 34, 3, 5, 6, 7, 8, 12, 14, 17, 21, 24};{0, 3, 4, 7, 8}
7;12;Player 0;0;50;25;12;[2];13;0;True;;0;EC:Input:B =50;;;{0, 34, 3, 5, 6, 7, 8, 12, 13, 14, 17, 21, 24};{0, 3, 4, 7, 8}
7;13;Player 1;75;-10;75;-63;;19;1;True;['CPU1Captured'];0;EC:Input:C =75;{' WC Name: Capture CPU '};;{0, 34, 3, 5, 6, 7, 8, 12, 13, 14, 17, 19, 21, 24};{0, 3, 4, 5, 7, 8}
8;14;Player 0;0;50;45;12;;18;0;True;;0;EC:Input:C =45;;;{0, 34, 3, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 21, 24};{0, 3, 4, 5, 7, 8}
8;15;Player 1;75;-10;75;-63;;0;0;False;['CPU1Captured'];1;;;;{0, 34, 3, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 21, 24};{0, 3, 4, 5, 7, 8}
9;16;Player 0;0;50;45;107;;22;1;True;;0;EC:Task: T += A+B+C;;Player 0;{0, 34, 3, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 21, 22, 24};{0, 3, 4, 5, 7, 8}
