roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;5;-10;15;28;[1, 2, 3];0;0;False;['CPU1Captured'];2;;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30};{0, 4, 5, 6}
1;1;Player 1;25;20;15;0;[2, 3, 1];0;0;False;['CPU1Captured'];2;;;;{0};{0}
2;2;Player 0;5;-10;15;28;[1, 2, 3];30;0;True;;0;EC:Resource: Bazar;;;{0, 17, 30};{0}
2;3;Player 1;25;50;15;0;[2, 3, 1];13;0;True;;0;EC:Input:B =50;;;{0, 17, 2, 13};{0, 6}
3;4;Player 0;5;0;-20;28;[1, 2, 3];24;2;True;;0;EC:Task: T += sum all/2;"{' WC Name: B,C=0; ', ' WC Name: C=-20 '}";;{0, 2, 17, 23, 24};{0, 3, 6, 8, 9}
3;5;Player 1;25;50;1;0;[3, 1];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 2, 9, 17, 20, 23};{0, 8, 6, 7}
4;6;Player 0;5;0;-20;-72;[1, 2, 3];24;2;True;['CPU1Captured'];0;EC:Task: T += sum all/2;{' WC Name: T -=100 ', ' WC Name: Capture CPU '};;{0, 2, 14, 17, 20, 23, 24};{0, 4, 5, 6, 7, 8, 9}
4;7;Player 1;5;50;1;0;[3, 1];4;0;True;;0;EC:Input:A =5;;;{0, 2, 3, 4, 14, 17, 20, 23};{0, 6, 7, 8, 9}
5;8;Player 0;5;0;-20;-72;[1, 2, 3];0;0;False;['CPU1Captured'];1;;;;{0, 2, 3, 14, 17, 20, 23, 26};{0, 1, 4, 6, 7, 8, 9}
5;9;Player 1;5;50;1;0;[3, 1];29;0;True;;0;EC:Resource: Freelancer;;;{0, 2, 3, 7, 14, 17, 20, 23, 26, 29};{0, 1, 4, 6, 7, 8, 9}
6;10;Player 0;5;0;-20;-72;[1, 2, 3];0;0;False;['CPU1Captured'];2;;;;{0, 2, 3, 7, 14, 17, 20, 23, 26, 29};{0, 1, 4, 6, 7, 8, 9}
6;11;Player 1;5;50;45;0;[3, 1];18;0;True;;0;EC:Input:C =45;;;{0, 2, 3, 7, 14, 17, 18, 20, 23, 25, 26, 29};{0, 1, 3, 4, 5, 6, 7, 8, 9}
7;12;Player 0;5;0;-20;-72;[1, 2, 3];21;1;True;;0;EC:Task: T = A*B;"{' WC Name: C=NULL; '}";;{0, 2, 3, 7, 9, 14, 17, 20, 21, 23, 25, 26, 29};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
7;13;Player 1;10;50;45;0;[3, 1];5;0;True;;0;EC:Input:A =10;;;{0, 2, 3, 5, 7, 9, 14, 17, 20, 23, 25, 26, 29};{0, 1, 3, 4, 5, 6, 7, 8, 9}
8;14;Player 0;5;0;-20;-72;[1, 2, 3];30;0;True;;0;EC:Resource: Bazar;;;{0, 2, 3, 7, 9, 14, 15, 17, 20, 23, 25, 26, 29, 30};{0, 1, 3, 4, 5, 6, 7, 8, 9}
8;15;Player 1;10;50;45;37;[1, 2];1;1;True;;0;EC:Input:2 digit number<50;"{' WC Name: C=NULL; '}";;{0, 1, 2, 3, 7, 9, 14, 15, 17, 20, 23, 25, 26, 29};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
9;16;Player 0;25;0;-20;-72;[1, 2, 3];6;0;True;;0;EC:Input:A =25;;;{0, 2, 3, 6, 7, 8, 9, 14, 15, 17, 20, 23, 25, 26, 29};{0, 1, 3, 4, 5, 6, 7, 8, 9}
9;17;Player 1;10;50;15;37;[1, 2];16;0;True;;0;EC:Input:C =15;;;{0, 2, 3, 5, 7, 8, 9, 14, 15, 16, 17, 20, 23, 25, 26, 29};{0, 1, 3, 4, 5, 6, 7, 8, 9}
