roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;73;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;5;0;0;0;;9;0;True;;0;EC:Input: sum dice of all players;;;{0, 9};{0}
2;2;Player 0;73;0;0;0;[0];14;1;True;;0;EC:Input:B =70;"{' WC Name: B,C=0; '}";;{0, 9, 14};{0, 3}
2;3;Player 1;5;-10;0;0;;24;2;True;;0;EC:Task: T += sum all/2;{' WC Name: T =xx00 ', ' WC Name: B=-10 '};;{0, 9, 14, 24};{0, 8, 3, 6}
3;4;Player 0;73;0;25;0;[0];17;0;True;;0;EC:Input:C =25;;;{0, 9, 14, 17, 24};{0, 8, 3, 6}
3;5;Player 1;5;8;0;0;;1;1;True;['CPU1Captured'];0;EC:Input:2 digit number<50;{' WC Name: Capture CPU '};;{0, 1, 9, 14, 17, 24};{0, 3, 5, 6, 8}
4;6;Player 0;73;0;-20;0;[0, 3, 2];25;2;True;;0;EC:Task: T += sum all;"{' WC Name: C=-20 ', ' WC Name: C=NULL; '}";;{0, 1, 9, 14, 17, 24, 25};{0, 2, 3, 5, 6, 8, 9}
4;7;Player 1;5;8;0;0;;0;0;False;['CPU1Captured'];1;;;;{0, 1, 9, 14, 17, 24, 25};{0, 2, 3, 5, 6, 8, 9}
5;8;Player 0;25;0;-20;0;[0, 3, 2];6;0;True;;0;EC:Input:A =25;;;{0, 1, 6, 9, 14, 17, 24, 25};{0, 2, 3, 5, 6, 8, 9}
5;9;Player 1;5;8;0;0;;0;0;False;['CPU1Captured'];2;;;;{0, 1, 6, 9, 14, 17, 24, 25};{0, 2, 3, 5, 6, 8, 9}
6;10;Player 0;25;0;-20;0;[0, 3, 2];29;0;True;;0;EC:Resource: Freelancer;;;{0, 1, 6, 9, 14, 17, 24, 25, 29};{0, 2, 3, 5, 6, 8, 9}
6;11;Player 1;5;20;0;0;;11;0;True;;0;EC:Input:B =20;;;{0, 1, 6, 9, 11, 14, 17, 24, 25, 29};{0, 2, 3, 5, 6, 8, 9}
7;12;Player 0;25;0;-20;0;[0, 3, 2, 1];23;1;True;;0;EC:Task: T = xx9x;"{' WC Name: B=NULL; '}";;{0, 1, 6, 9, 11, 14, 17, 23, 24, 25, 29};{0, 1, 2, 3, 5, 6, 8, 9}
7;13;Player 1;5;30;0;0;;12;0;True;;0;EC:Input:B =30;;;{0, 1, 6, 9, 11, 12, 14, 17, 23, 24, 25, 29};{0, 1, 2, 3, 5, 6, 8, 9}
8;14;Player 0;10;0;-20;0;[0, 3, 2, 1];5;0;True;;0;EC:Input:A =10;;;{0, 1, 5, 6, 9, 11, 12, 14, 17, 23, 24, 25, 29};{0, 1, 2, 3, 5, 6, 8, 9}
8;15;Player 1;5;30;0;-65;;22;1;True;;0;EC:Task: T += A+B+C;{' WC Name: T -=100 '};;{0, 1, 5, 6, 9, 11, 12, 14, 17, 22, 23, 24, 25, 29};{0, 1, 2, 3, 4, 5, 6, 8, 9}
