54;106;Player 0;0;47;64;0;[3, 2];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: C=NULL; '}";;{0, 28, 29, 30};{0, 2, 4, 7}
54;107;Player 1;50;28;45;0;[3, 1];1;1;True;;0;EC:Input:2 digit number<50;"{' WC Name: B=NULL; '}";;{0, 1, 28, 29, 30};{0, 1, 2, 4, 7}
55;108;Player 0;0;47;64;0;[3, 2];33;0;True;;0;EC:Resource: Restart;;;{0, 1, 33, 28, 29, 30};{0, 1, 2, 4, 7}
55;109;Player 1;50;0;0;0;[3];19;1;True;;0;EC:Input:C =75;"{' WC Name: B,C=0; '}";;{0, 1, 33, 19, 28, 29, 30};{0, 1, 2, 3, 4, 7}
56;110;Player 0;0;50;64;0;[3, 2];13;0;True;;0;EC:Input:B =50;;;{0, 1, 33, 13, 19, 28, 29, 30};{0, 1, 2, 3, 4, 7}
56;111;Player 1;50;5;0;0;[3];3;0;True;;0;EC:Input:2 digit number<30;;;{0, 1, 33, 3, 13, 19, 28, 29, 30};{0, 1, 2, 3, 4, 7}
57;112;Player 0;0;50;6;0;[3, 2];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 1, 33, 3, 9, 13, 19, 28, 29, 30};{0, 1, 2, 3, 4, 7}
57;113;Player 1;50;-10;0;0;[3];14;1;True;;0;EC:Input:B =70;{' WC Name: B=-10 '};;{0, 1, 33, 3, 9, 13, 14, 19, 28, 29, 30};{0, 1, 2, 3, 4, 7, 8}
58;114;Player 0;0;10;6;0;[3, 2];10;0;True;;0;EC:Input:B =10;;;{0, 1, 33, 3, 9, 10, 13, 14, 19, 28, 29, 30};{0, 1, 2, 3, 4, 7, 8}
58;115;Player 1;50;-10;-20;0;[3];22;1;True;;0;EC:Task: T += A+B+C;{' WC Name: C=-20 '};;{0, 1, 33, 3, 9, 10, 13, 14, 19, 22, 28, 29, 30};{0, 1, 2, 3, 4, 7, 8, 9}
59;116;Player 0;0;10;6;0;[3, 2];32;0;True;;0;EC:Resource: Restart;;;{0, 1, 33, 3, 32, 9, 10, 13, 14, 19, 22, 28, 29, 30};{0, 1, 2, 3, 4, 7, 8, 9}
59;117;Player 1;10;-10;-20;0;[3];5;0;True;;0;EC:Input:A =10;;;{0, 1, 32, 3, 33, 5, 9, 10, 13, 14, 19, 22, 28, 29, 30};{0, 1, 2, 3, 4, 7, 8, 9}
60;118;Player 0;5;10;6;0;[3, 2];4;0;True;;0;EC:Input:A =5;;;{0, 1, 32, 3, 33, 5, 4, 9, 10, 13, 14, 19, 22, 28, 29, 30};{0, 1, 2, 3, 4, 7, 8, 9}
60;119;Player 1;10;-10;25;0;[3];17;0;True;;0;EC:Input:C =25;;;{0, 1, 32, 3, 33, 5, 4, 9, 10, 13, 14, 17, 19, 22, 28, 29, 30};{0, 1, 2, 3, 4, 7, 8, 9}
