roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;94;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;0;0;;33;0;True;;0;EC:Resource: Restart;;;{0, 33};{0}
2;2;Player 0;10;0;0;0;;5;0;True;;0;EC:Input:A =10;;;{0, 33, 5};{0}
2;3;Player 1;0;70;0;0;;14;1;True;;0;EC:Input:B =70;{' WC Name: T =xx00 '};;{0, 33, 5, 14};{0, 6}
3;4;Player 0;10;50;0;0;;13;0;True;;0;EC:Input:B =50;;;{0, 33, 5, 13, 14};{0, 6}
3;5;Player 1;0;70;15;0;;16;0;True;;0;EC:Input:C =15;;;{0, 33, 5, 13, 14, 16};{0, 6}
4;6;Player 0;10;20;0;0;;11;0;True;;0;EC:Input:B =20;;;{0, 33, 5, 11, 13, 14, 16};{0, 6}
4;7;Player 1;5;70;15;0;;4;0;True;;0;EC:Input:A =5;;;{0, 33, 4, 5, 11, 13, 14, 16};{0, 6}
5;8;Player 0;0;-1;0;30;[2];22;1;True;;0;EC:Task: T += A+B+C;{' WC Name: A=0,B=-1,C=N '};;{0, 33, 4, 5, 11, 13, 14, 16, 22};{0, 6, 7}
5;9;Player 1;75;70;15;0;;8;0;True;;0;EC:Input:A =75;;;{0, 33, 4, 5, 8, 11, 13, 14, 16, 22};{0, 6, 7}
6;10;Player 0;50;-1;0;30;[2];7;0;True;;0;EC:Input:A =50;;;{0, 33, 4, 5, 7, 8, 11, 13, 14, 16, 22};{0, 6, 7}
6;11;Player 1;75;70;15;160;;25;2;True;;0;EC:Task: T += sum all;;Player 1;{0, 33, 4, 5, 7, 8, 11, 13, 14, 16, 22, 25};{0, 6, 7}
