roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;84;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;-10;0;-100;;27;2;True;;0;EC:Task: x = 2x ! total;{' WC Name: T -=100 ', ' WC Name: B=-10 '};;{0, 27};{0, 8, 4}
2;2;Player 0;25;0;0;0;;6;0;True;;0;EC:Input:A =25;;;{0, 27, 6};{0, 8, 4}
2;3;Player 1;0;-10;25;-100;;17;0;True;;0;EC:Input:C =25;;;{0, 17, 27, 6};{0, 8, 4}
3;4;Player 0;0;-1;0;0;[2];2;1;True;;0;EC:Input:2 digit number<90;{' WC Name: A=0,B=-1,C=N '};;{0, 2, 6, 17, 27};{0, 8, 4, 7}
3;5;Player 1;75;-10;25;-100;;8;0;True;;0;EC:Input:A =75;;;{0, 2, 6, 8, 17, 27};{0, 8, 4, 7}
4;6;Player 0;5;-1;0;0;[2];4;0;True;;0;EC:Input:A =5;;;{0, 2, 4, 6, 8, 17, 27};{0, 8, 4, 7}
4;7;Player 1;75;-10;25;-100;;33;0;True;;0;EC:Resource: Restart;;;{0, 33, 2, 4, 6, 8, 17, 27};{0, 8, 4, 7}
5;8;Player 0;5;-1;0;0;[2];32;0;True;;0;EC:Resource: Restart;;;{0, 33, 2, 32, 4, 6, 8, 17, 27};{0, 8, 4, 7}
5;9;Player 1;75;0;0;-10;[2];25;2;True;;0;EC:Task: T += sum all;"{' WC Name: B,C=0; ', ' WC Name: C=NULL; '}";;{0, 33, 2, 32, 4, 6, 8, 17, 25, 27};{0, 2, 3, 4, 7, 8}
6;10;Player 0;5;-1;0;9;[2];23;1;True;['CPU1Captured'];0;EC:Task: T = xx9x;{' WC Name: Capture CPU '};;{0, 33, 2, 32, 4, 6, 8, 17, 23, 25, 27};{0, 2, 3, 4, 5, 7, 8}
6;11;Player 1;75;0;5;-10;;15;0;True;;0;EC:Input:C =5;;;{0, 33, 2, 32, 4, 6, 8, 15, 17, 23, 25, 27};{0, 2, 3, 4, 5, 7, 8}
7;12;Player 0;5;-1;0;9;[2];0;0;False;['CPU1Captured'];1;;;;{0, 33, 2, 32, 4, 6, 8, 15, 17, 23, 25, 27};{0, 2, 3, 4, 5, 7, 8}
7;13;Player 1;75;10;5;-10;;10;0;True;;0;EC:Input:B =10;;;{0, 33, 2, 32, 4, 6, 8, 10, 15, 17, 23, 25, 27};{0, 2, 3, 4, 5, 7, 8}
8;14;Player 0;5;-1;0;9;[2];0;0;False;['CPU1Captured'];2;;;;{0, 33, 2, 32, 4, 6, 8, 10, 15, 17, 23, 25, 27};{0, 2, 3, 4, 5, 7, 8}
8;15;Player 1;75;10;45;-10;;18;0;True;;0;EC:Input:C =45;;;{0, 33, 2, 32, 4, 6, 8, 10, 15, 17, 18, 23, 25, 27};{0, 2, 3, 4, 5, 7, 8}
9;16;Player 0;5;-1;-20;9;;1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: C=-20 '};;{0, 33, 2, 32, 4, 1, 6, 8, 10, 15, 17, 18, 23, 25, 27};{0, 2, 3, 4, 5, 7, 8, 9}
9;17;Player 1;75;10;45;0;;21;1;True;;0;EC:Task: T = A(*)+B;{' WC Name: T =xx00 '};;{0, 33, 2, 32, 4, 1, 6, 8, 10, 15, 17, 18, 21, 23, 25, 27};{0, 2, 3, 4, 5, 6, 7, 8, 9}
10;18;Player 0;5;-1;9;9;;9;0;True;;0;EC:Input: sum dice of all players;;;{0, 33, 2, 32, 4, 1, 6, 8, 9, 10, 15, 17, 18, 21, 23, 25, 27};{0, 2, 3, 4, 5, 6, 7, 8, 9}
10;19;Player 1;75;10;45;0;;30;0;True;;0;EC:Resource: Bazar;;;{0, 33, 2, 32, 4, 1, 6, 8, 9, 10, 15, 17, 18, 21, 23, 25, 27, 30};{0, 2, 3, 4, 5, 6, 7, 8, 9}
11;20;Player 0;50;-1;9;9;;7;0;True;;0;EC:Input:A =50;;;{0, 1, 2, 4, 6, 7, 8, 9, 10, 15, 17, 18, 21, 23, 25, 27, 30, 32, 33};{0, 2, 3, 4, 5, 6, 7, 8, 9}
11;21;Player 1;75;10;45;85;[1];20;1;True;;0;aEC:Task: T += A+B;"{' WC Name: B=NULL; '}";;{0, 1, 2, 4, 6, 7, 8, 9, 10, 15, 17, 18, 20, 21, 23, 25, 27, 30, 32, 33};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
12;22;Player 0;50;30;9;9;;12;0;True;;0;EC:Input:B =30;;;{0, 1, 2, 4, 6, 7, 8, 9, 10, 12, 15, 17, 18, 20, 21, 23, 25, 27, 30, 32, 33};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
12;23;Player 1;75;10;45;85;[1];31;0;True;;0;EC:Resource: Restart;;;{0, 1, 2, 4, 6, 7, 8, 9, 10, 12, 15, 17, 18, 20, 21, 23, 25, 27, 30, 31, 32, 33};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
13;24;Player 0;50;30;9;89;[0, 2];26;2;True;;0;EC:Task: T += B+((2*)A);"{' WC Name: A=NULL; ', ' WC Name: C=NULL; '}";;{0, 1, 2, 4, 6, 7, 8, 9, 10, 12, 15, 17, 18, 20, 21, 23, 25, 26, 27, 30, 31, 32, 33};{0, 2}
13;25;Player 1;75;10;15;85;[1];16;0;True;;0;EC:Input:C =15;;;{0, 1, 2, 4, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 20, 21, 23, 25, 26, 27, 30, 31, 32, 33};{0, 2}
14;26;Player 0;50;30;9;89;[0, 2, 3];22;1;True;;0;EC:Task: T += A+B+C;{' WC Name: T =xx00 '};;{0, 1, 2, 4, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 27, 30, 31, 32, 33};{0, 2, 6}
14;27;Player 1;75;10;15;85;[1];29;0;True;;0;EC:Resource: Freelancer;;;{0, 1, 2, 4, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 20, 21, 22, 23, 25, 26, 27, 29, 30, 31, 32, 33};{0, 2, 6}
15;28;Player 0;50;-10;9;89;[0, 2, 3];24;2;True;['CPU1Captured'];0;EC:Task: T += sum all/2;{' WC Name: B=-10 ', ' WC Name: Capture CPU '};;{0, 1, 2, 4, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33};{0, 2, 5, 6, 8}
15;29;Player 1;75;20;15;85;;11;0;True;;0;EC:Input:B =20;;;{0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33};{0, 2, 5, 6, 8}
16;30;Player 0;50;-10;9;89;[0, 2, 3];0;0;False;['CPU1Captured'];1;;;;{0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33};{0, 2, 5, 6, 8}
