roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;24;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;75;0;0;0;;8;0;True;;0;EC:Input:A =75;;;{0, 8};{0}
2;2;Player 0;0;-1;0;0;[2];1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: A=0,B=-1,C=N '};;{0, 8, 1};{0, 7}
2;3;Player 1;75;10;0;0;;10;0;True;;0;EC:Input:B =10;;;{0, 8, 10, 1};{0, 7}
3;4;Player 0;0;-1;0;0;[2];29;0;True;;0;EC:Resource: Restart;;;{0, 1, 8, 10, 29};{0, 7}
3;5;Player 1;75;10;74;0;;2;1;True;;0;EC:Input:2 digit number<90;{' WC Name: T =xx00 '};;{0, 1, 2, 8, 10, 29};{0, 6, 7}
4;6;Player 0;0;-1;0;-1;[2];21;1;True;;0;EC:Task: T = A(*)+B;"{' WC Name: C=NULL; '}";;{0, 1, 2, 8, 10, 21, 29};{0, 2, 6, 7}
4;7;Player 1;75;10;5;0;;15;0;True;;0;EC:Input:C =5;;;{0, 1, 2, 8, 10, 15, 21, 29};{0, 2, 6, 7}
5;8;Player 0;0;-1;-20;-1;[3];25;2;True;;0;EC:Task: T += sum all;{' WC Name: T -=100 ', ' WC Name: C=-20 '};;{0, 1, 2, 8, 10, 15, 21, 25, 29};{0, 2, 4, 6, 7, 9}
5;9;Player 1;75;10;5;0;;31;0;True;;0;EC:Resource: Bazar;;;{0, 1, 2, 8, 10, 15, 21, 25, 29, 31};{0, 2, 4, 6, 7, 9}
6;10;Player 0;25;-1;-20;-1;[3];6;0;True;;0;EC:Input:A =25;;;{0, 1, 2, 6, 8, 10, 15, 21, 25, 29, 31};{0, 2, 4, 6, 7, 9}
6;11;Player 1;75;10;25;0;;17;0;True;;0;EC:Input:C =25;;;{0, 1, 2, 6, 8, 10, 15, 17, 21, 25, 29, 31};{0, 2, 4, 6, 7, 9}
7;12;Player 0;25;-10;0;-1;[3];28;2;True;;0;EC:Task: x = 2x ! total;"{' WC Name: B,C=0; ', ' WC Name: B=-10 '}";;{0, 1, 2, 6, 8, 10, 15, 17, 21, 25, 28, 29, 31};{0, 2, 3, 4, 6, 7, 8, 9}
7;13;Player 1;10;10;25;0;;5;0;True;;0;EC:Input:A =10;;;{0, 1, 2, 5, 6, 8, 10, 15, 17, 21, 25, 28, 29, 31};{0, 2, 3, 4, 6, 7, 8, 9}
8;14;Player 0;25;-10;75;-1;[3, 1];19;1;True;;0;EC:Input:C =75;"{' WC Name: B=NULL; '}";;{0, 1, 2, 5, 6, 8, 10, 15, 17, 19, 21, 25, 28, 29, 31};{0, 1, 2, 3, 4, 6, 7, 8, 9}
8;15;Player 1;10;10;25;20;;20;1;True;['CPU1Captured'];0;aEC:Task: T += A+B;{' WC Name: Capture CPU '};;{0, 1, 2, 5, 6, 8, 10, 15, 17, 19, 20, 21, 25, 28, 29, 31};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
9;16;Player 0;25;-10;75;-1;[3, 1, 0];23;1;True;;0;EC:Task: T = xx9x;"{' WC Name: A=NULL; '}";;{0, 1, 2, 5, 6, 8, 10, 15, 17, 19, 20, 21, 23, 25, 28, 29, 31};{0}
9;17;Player 1;10;10;25;20;;0;0;False;['CPU1Captured'];1;;;;{0, 1, 2, 5, 6, 8, 10, 15, 17, 19, 20, 21, 23, 25, 28, 29, 31};{0}
10;18;Player 0;25;70;75;-1;[3, 0];14;1;True;;0;EC:Input:B =70;{' WC Name: T -=100 '};;{0, 1, 2, 5, 6, 8, 10, 14, 15, 17, 19, 20, 21, 23, 25, 28, 29, 31};{0, 4}
10;19;Player 1;10;10;25;20;;0;0;False;['CPU1Captured'];2;;;;{0, 1, 2, 5, 6, 8, 10, 14, 15, 17, 19, 20, 21, 23, 25, 28, 29, 31};{0, 4}
11;20;Player 0;4;70;75;-1;[3, 0];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 1, 2, 5, 6, 8, 9, 10, 14, 15, 17, 19, 20, 21, 23, 25, 28, 29, 31};{0, 4}
11;21;Player 1;16;10;25;20;;3;0;True;;0;EC:Input:2 digit number<30;;;{0, 1, 2, 3, 5, 6, 8, 9, 10, 14, 15, 17, 19, 20, 21, 23, 25, 28, 29, 31};{0, 4}
12;22;Player 0;4;70;75;-1;[3, 0];34;0;True;;0;EC:Resource: Restart;;;{0, 1, 2, 3, 5, 6, 8, 9, 10, 14, 15, 17, 19, 20, 21, 23, 25, 28, 29, 31, 34};{0, 4}
12;23;Player 1;5;10;25;20;;4;0;True;;0;EC:Input:A =5;;;{0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 14, 15, 17, 19, 20, 21, 23, 25, 28, 29, 31, 34};{0, 4}
13;24;Player 0;4;70;45;-1;[3, 0];18;0;True;;0;EC:Input:C =45;;;{0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 14, 15, 17, 18, 19, 20, 21, 23, 25, 28, 29, 31, 34};{0, 4}
