roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;73;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;0;0;;31;0;True;;0;EC:Resource: Bazar;;;{0, 31};{0}
2;2;Player 0;73;0;-20;0;[0, 3];24;2;True;;0;EC:Task: T += sum all/2;{' WC Name: T -=100 ', ' WC Name: C=-20 '};;{0, 24, 31};{0, 9, 4}
2;3;Player 1;0;0;25;0;;17;0;True;;0;EC:Input:C =25;;;{0, 24, 17, 31};{0, 9, 4}
3;4;Player 0;73;30;-20;0;[0, 3];12;0;True;;0;EC:Input:B =30;;;{0, 12, 17, 24, 31};{0, 9, 4}
3;5;Player 1;0;0;0;9;;23;1;True;;0;EC:Task: T = xx9x;"{' WC Name: B,C=0; '}";;{0, 12, 17, 23, 24, 31};{0, 9, 3, 4}
4;6;Player 0;73;30;5;0;[0, 3];15;0;True;;0;EC:Input:C =5;;;{0, 12, 15, 17, 23, 24, 31};{0, 9, 3, 4}
4;7;Player 1;0;0;0;0;;22;1;True;;0;EC:Task: T += A+B+C;{' WC Name: T =xx00 '};;{0, 12, 15, 17, 22, 23, 24, 31};{0, 3, 4, 6, 9}
5;8;Player 0;73;30;5;0;[0, 3];33;0;True;;0;EC:Resource: Restart;;;{0, 33, 12, 15, 17, 22, 23, 24, 31};{0, 3, 4, 6, 9}
5;9;Player 1;0;0;0;0;[2];21;1;True;;0;EC:Task: T = A(*)+B;"{' WC Name: C=NULL; '}";;{0, 33, 12, 15, 17, 21, 22, 23, 24, 31};{0, 2, 3, 4, 6, 9}
6;10;Player 0;73;30;5;0;[0, 3];32;0;True;;0;EC:Resource: Restart;;;{0, 33, 32, 12, 15, 17, 21, 22, 23, 24, 31};{0, 2, 3, 4, 6, 9}
6;11;Player 1;0;0;0;0;[2, 1];20;1;True;;0;aEC:Task: T += A+B;"{' WC Name: B=NULL; '}";;{0, 33, 32, 12, 15, 17, 20, 21, 22, 23, 24, 31};{0, 1, 2, 3, 4, 6, 9}
7;12;Player 0;10;30;5;0;[3];5;0;True;;0;EC:Input:A =10;;;{0, 33, 32, 5, 12, 15, 17, 20, 21, 22, 23, 24, 31};{0, 1, 2, 3, 4, 6, 9}
7;13;Player 1;0;-1;0;0;[2, 3];25;2;True;;0;EC:Task: T += sum all;{' WC Name: A=0,B=-1,C=N ', ' WC Name: B=-10 '};;{0, 33, 32, 5, 12, 15, 17, 20, 21, 22, 23, 24, 25, 31};{0, 1, 2, 3, 4, 6, 7, 8, 9}
8;14;Player 0;10;30;48;0;[3];1;1;True;['CPU1Captured'];0;EC:Input:2 digit number<50;{' WC Name: Capture CPU '};;{0, 33, 32, 1, 5, 12, 15, 17, 20, 21, 22, 23, 24, 25, 31};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
8;15;Player 1;25;-1;0;0;[2, 3];6;0;True;;0;EC:Input:A =25;;;{0, 33, 32, 1, 5, 6, 12, 15, 17, 20, 21, 22, 23, 24, 25, 31};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
9;16;Player 0;10;30;48;0;[3];0;0;False;['CPU1Captured'];1;;;;{0, 33, 32, 1, 5, 6, 12, 15, 17, 20, 21, 22, 23, 24, 25, 31};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
9;17;Player 1;25;-1;75;0;[3, 0];19;1;True;;0;EC:Input:C =75;"{' WC Name: A=NULL; '}";;{0, 33, 32, 1, 5, 6, 12, 15, 17, 19, 20, 21, 22, 23, 24, 25, 31};{0}
10;18;Player 0;10;30;48;0;[3];0;0;False;['CPU1Captured'];2;;;;{0, 33, 32, 1, 5, 6, 12, 15, 17, 19, 20, 21, 22, 23, 24, 25, 31};{0}
10;19;Player 1;25;50;75;0;[3, 0];13;0;True;;0;EC:Input:B =50;;;{0, 33, 32, 1, 5, 6, 12, 13, 15, 17, 19, 20, 21, 22, 23, 24, 25, 31};{0}
11;20;Player 0;10;20;48;0;[3];11;0;True;;0;EC:Input:B =20;;;{0, 1, 5, 6, 11, 12, 13, 15, 17, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33};{0}
11;21;Player 1;6;50;75;0;[3, 0];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 1, 5, 6, 9, 11, 12, 13, 15, 17, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33};{0}
12;22;Player 0;5;20;48;0;[3];4;0;True;;0;EC:Input:A =5;;;{0, 1, 4, 5, 6, 9, 11, 12, 13, 15, 17, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33};{0}
12;23;Player 1;50;50;75;0;[3];7;0;True;;0;EC:Input:A =50;;;{0, 1, 4, 5, 6, 7, 9, 11, 12, 13, 15, 17, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33};{0}
13;24;Player 0;22;20;48;0;[3];2;1;True;;0;EC:Input:2 digit number<90;{' WC Name: T -=100 '};;{0, 1, 2, 4, 5, 6, 7, 9, 11, 12, 13, 15, 17, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33};{0, 4}
13;25;Player 1;50;50;45;0;[3];18;0;True;;0;EC:Input:C =45;;;{0, 1, 2, 4, 5, 6, 7, 9, 11, 12, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33};{0, 4}
14;26;Player 0;22;24;48;0;[3];3;0;True;;0;EC:Input:2 digit number<30;;;{0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33};{0, 4}
14;27;Player 1;50;50;15;0;[3];16;0;True;;0;EC:Input:C =15;;;{0, 1, 2, 3, 4, 5, 6, 7, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33};{0, 4}
15;28;Player 0;75;24;48;0;[3];8;0;True;;0;EC:Input:A =75;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 31, 32, 33};{0, 4}
15;29;Player 1;50;50;-20;0;[3];27;2;True;['CPU1Captured'];0;EC:Task: T += (2*)(A+B+C);{' WC Name: Capture CPU ', ' WC Name: C=-20 '};;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 31, 32, 33};{0, 9, 4, 5}
16;30;Player 0;75;0;0;0;[3];14;1;True;;0;EC:Input:B =70;"{' WC Name: B,C=0; '}";;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 31, 32, 33};{0, 3, 4, 5, 9}
16;31;Player 1;50;50;-20;0;[3];0;0;False;['CPU1Captured'];1;;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 31, 32, 33};{0, 3, 4, 5, 9}
17;32;Player 0;75;10;0;0;[3];10;0;True;;0;EC:Input:B =10;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 31, 32, 33};{0, 3, 4, 5, 9}
17;33;Player 1;50;50;-20;0;[3];0;0;False;['CPU1Captured'];2;;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 31, 32, 33};{0, 3, 4, 5, 9}
18;34;Player 0;75;-10;0;0;[3];26;2;True;;0;EC:Task: T += B+((2*)A);{' WC Name: T =xx00 ', ' WC Name: B=-10 '};;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33};{0, 3, 4, 5, 6, 8, 9}
18;35;Player 1;50;50;-20;0;[3];29;0;True;;0;EC:Resource: Restart;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31, 32, 33};{0, 3, 4, 5, 6, 8, 9}
