roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;10;20;45;0;[0, 2, 3];27;2;True;;0;EC:Task: x = 2x ! total;"{' WC Name: C=NULL; '}";;{0, 1, 2, 3, 5, 6, 9, 11, 12, 16, 17, 20, 23, 24, 26, 27, 28, 29, 30};{2}
1;1;Player 1;10;70;12;-136;[3, 0];29;0;True;;0;EC:Resource: Freelancer;;;{0, 29};{0}
2;2;Player 0;10;20;25;0;[0, 2, 3];17;0;True;;0;EC:Input:C =25;;;{0, 17, 26};{0, 9, 6}
2;3;Player 1;10;70;25;-136;[3, 0];17;0;True;;0;EC:Input:C =25;;;{0, 9, 26, 17};{0, 9, 6}
3;4;Player 0;7;0;0;0;[2, 3];2;1;True;;0;EC:Input:2 digit number<90;"{' WC Name: B,C=0; '}";;{0, 2, 5, 9, 26};{0, 9, 3, 6}
3;5;Player 1;10;70;25;26;[0];1;1;True;['CPU1Captured'];0;EC:Input:2 digit number<50;{' WC Name: Capture CPU '};;{0, 1, 2, 5, 9, 26};{0, 5, 6, 7, 9}
4;6;Player 0;50;0;0;0;[2, 3];7;0;True;;0;EC:Input:A =50;;;{0, 2, 5, 7, 9, 24, 26};{0, 1, 5, 6, 7, 9}
4;7;Player 1;10;70;25;26;[0];0;0;False;['CPU1Captured'];1;;;;{0, 2, 5, 9, 23, 24, 26};{0, 1, 5, 6, 7, 8, 9}
5;8;Player 0;50;0;25;0;[2, 3];17;0;True;;0;EC:Input:C =25;;;{0, 2, 5, 9, 17, 23, 24, 26};{0, 1, 5, 6, 7, 8, 9}
5;9;Player 1;10;70;25;26;[0];0;0;False;['CPU1Captured'];2;;;;{0, 2, 5, 9, 23, 24, 26, 29};{0, 1, 5, 6, 7, 8, 9}
6;10;Player 0;50;20;25;0;[2, 3];11;0;True;;0;EC:Input:B =20;;;{0, 2, 5, 9, 11, 23, 24, 26, 29};{0, 1, 5, 6, 7, 8, 9}
6;11;Player 1;10;70;25;26;[0];28;0;True;;0;EC:Resource: Restart;;;{0, 2, 5, 9, 12, 23, 24, 26, 28, 29};{0, 1, 5, 6, 7, 8, 9}
7;12;Player 0;50;10;25;0;[2, 3];10;0;True;;0;EC:Input:B =10;;;{0, 1, 2, 5, 9, 10, 12, 23, 24, 26, 29};{0, 1, 3, 5, 6, 7, 8, 9}
7;13;Player 1;10;70;25;26;[0, 3, 2];22;1;True;;0;EC:Task: T += A+B+C;"{' WC Name: C=NULL; '}";;{0, 1, 2, 5, 6, 9, 12, 22, 23, 24, 26, 29};{0, 1, 2, 3, 5, 6, 7, 8, 9}
8;14;Player 0;50;10;25;0;[2, 3];30;0;True;;0;EC:Resource: Bazar;;;{0, 1, 2, 5, 6, 9, 12, 19, 23, 24, 26, 29, 30};{0, 1, 2, 3, 5, 6, 7, 8, 9}
8;15;Player 1;10;50;25;26;[0, 3, 2];13;0;True;;0;EC:Input:B =50;;;{0, 1, 2, 5, 6, 9, 12, 13, 19, 23, 24, 25, 26, 29};{4}
9;16;Player 0;50;10;25;0;[2, 3, 0];21;1;True;;0;EC:Task: T = A*B;"{' WC Name: A=NULL; '}";;{0, 1, 2, 5, 6, 9, 12, 15, 19, 21, 23, 24, 25, 26, 29};{0, 4}
9;17;Player 1;10;50;15;26;[0, 3, 2];16;0;True;;0;EC:Input:C =15;;;{0, 1, 2, 5, 6, 8, 9, 12, 15, 16, 19, 23, 24, 25, 26, 29};{4}
10;18;Player 0;50;10;25;0;[2, 3, 0];20;1;True;;0;EC:Task: T += A+B;"{' WC Name: A=NULL; '}";;{0, 1, 2, 5, 6, 8, 9, 10, 12, 15, 19, 20, 23, 24, 25, 26, 29};{0, 4}
10;19;Player 1;14;50;15;26;[3, 2];3;0;True;;0;EC:Input:2 digit number<30;;;{0, 1, 2, 3, 5, 6, 8, 9, 10, 12, 14, 15, 19, 23, 24, 25, 26, 29};{0, 4}
11;20;Player 0;50;50;25;0;[2, 3, 0];13;0;True;;0;EC:Input:B =50;;;{0, 1, 2, 5, 6, 8, 9, 10, 12, 13, 14, 15, 19, 21, 23, 24, 25, 26, 29};{0, 4}
11;21;Player 1;14;50;15;26;[3, 2];28;0;True;;0;EC:Resource: Restart;;;{0, 1, 2, 5, 6, 8, 9, 10, 12, 13, 14, 15, 19, 21, 23, 24, 25, 26, 28, 29};{0, 4}
12;22;Player 0;50;50;25;0;[2, 3, 0];24;2;True;;0;EC:Task: T += sum all/2;"{' WC Name: T =xx00 ', ' WC Name: C=NULL; '}";;{0, 24, 4};{0, 2, 6}
12;23;Player 1;50;50;15;26;[3, 2];7;0;True;;0;EC:Input:A =50;;;{0, 4, 22, 7};{0, 6}
13;24;Player 0;50;-10;34;0;[3, 0];1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: B=-10 '};;{0, 1, 12};{0, 8}
13;25;Player 1;50;50;15;26;[3, 2];29;0;True;;0;EC:Resource: Freelancer;;;{0, 9, 12, 29};{0}
14;26;Player 0;50;-10;34;0;[3, 0];7;0;True;;0;EC:Input:A =50;;;{0, 30, 7};{0}
14;27;Player 1;50;50;-20;0;[3, 2];26;2;True;;0;EC:Task: T += B+(2*A);{' WC Name: T =xx00 ', ' WC Name: C=-20 '};;{0, 1, 26, 30};{0, 8, 6, 9}
15;28;Player 0;50;0;0;0;[3, 0];26;2;True;;0;EC:Task: T += B+(2*A);"{' WC Name: T =xx00 ', ' WC Name: B,C=0; '}";;{0, 25, 26};{0, 3, 6}
15;29;Player 1;50;20;-20;0;[3, 2];11;0;True;;0;EC:Input:B =20;;;{0, 25, 11, 12};{0}
16;30;Player 0;50;0;15;0;[3, 0];16;0;True;;0;EC:Input:C =15;;;{0, 16, 2};{0}
16;31;Player 1;50;10;-20;0;[3, 2];10;0;True;;0;EC:Input:B =10;;;{0, 2, 10, 20};{0, 9}
17;32;Player 0;50;0;5;0;[3, 0];15;0;True;;0;EC:Input:C =5;;;{0, 9, 15};{0}
17;33;Player 1;10;10;-20;0;[3, 2];5;0;True;;0;EC:Input:A =10;;;{0, 1, 26, 5};{0, 9, 6, 8}
