roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;53;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;0;0;;34;0;True;;0;EC:Resource: Restart;;;{0, 34};{0}
2;2;Player 0;50;0;0;0;;7;0;True;;0;EC:Input:A =50;;;{0, 34, 7};{0}
2;3;Player 1;0;0;0;-100;[2];27;2;True;;0;EC:Task: T += (2*)(A+B+C);"{' WC Name: T -=100 ', ' WC Name: C=NULL; '}";;{0, 34, 27, 7};{0, 2, 4}
3;4;Player 0;50;9;0;0;;3;0;True;;0;EC:Input:2 digit number<30;;;{0, 34, 3, 7, 27};{0, 2, 4}
3;5;Player 1;0;-10;0;-100;[2, 3];22;1;True;;0;EC:Task: T += A+B+C;{' WC Name: B=-10 '};;{0, 34, 3, 7, 22, 27};{0, 8, 2, 4}
4;6;Player 0;75;9;0;0;;8;0;True;;0;EC:Input:A =75;;;{0, 34, 3, 7, 8, 22, 27};{0, 8, 2, 4}
4;7;Player 1;0;0;-20;-100;[3];28;2;True;;0;EC:Task: x = 2x ! total;"{' WC Name: B,C=0; ', ' WC Name: C=-20 '}";;{0, 34, 3, 7, 8, 22, 27, 28};{0, 2, 3, 4, 8, 9}
5;8;Player 0;75;9;0;0;;29;0;True;;0;EC:Resource: Restart;;;{0, 34, 3, 7, 8, 22, 27, 28, 29};{0, 2, 3, 4, 8, 9}
5;9;Player 1;0;0;64;-100;[3, 1];2;1;True;;0;EC:Input:2 digit number<90;"{' WC Name: B=NULL; '}";;{0, 34, 3, 2, 7, 8, 22, 27, 28, 29};{0, 1, 2, 3, 4, 8, 9}
6;10;Player 0;75;20;0;0;;11;0;True;;0;EC:Input:B =20;;;{0, 2, 3, 34, 7, 8, 11, 22, 27, 28, 29};{0, 1, 2, 3, 4, 8, 9}
6;11;Player 1;0;32;64;-100;[3];1;1;True;['CPU1Captured'];0;EC:Input:2 digit number<50;{' WC Name: Capture CPU '};;{0, 1, 2, 3, 34, 7, 8, 11, 22, 27, 28, 29};{0, 1, 2, 3, 4, 5, 8, 9}
7;12;Player 0;25;20;0;0;;6;0;True;;0;EC:Input:A =25;;;{0, 1, 2, 3, 34, 6, 7, 8, 11, 22, 27, 28, 29};{0, 1, 2, 3, 4, 5, 8, 9}
7;13;Player 1;0;32;64;-100;[3];0;0;False;['CPU1Captured'];1;;;;{0, 1, 2, 3, 34, 6, 7, 8, 11, 22, 27, 28, 29};{0, 1, 2, 3, 4, 5, 8, 9}
8;14;Player 0;25;20;0;0;;23;1;True;;0;EC:Task: T = xx9x;{' WC Name: T =xx00 '};;{0, 1, 2, 3, 34, 6, 7, 8, 11, 22, 23, 27, 28, 29};{0, 1, 2, 3, 4, 5, 6, 8, 9}
