roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;25;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;-20;0;;24;2;True;;0;EC:Task: T += sum all/2;{' WC Name: T =xx00 ', ' WC Name: C=-20 '};;{0, 24};{0, 9, 6}
2;2;Player 0;25;0;0;0;[0, 3, 1];27;2;True;['CPU1Captured'];0;EC:Task: x = 2x ! total;"{' WC Name: Capture CPU ', ' WC Name: B=NULL; '}";;{0, 24, 27};{0, 1, 5, 6, 9}
2;3;Player 1;0;-10;30;0;;2;1;True;;0;EC:Input:2 digit number<90;{' WC Name: B=-10 '};;{0, 24, 2, 27};{0, 1, 5, 6, 8, 9}
3;4;Player 0;25;0;0;0;[0, 3, 1];0;0;False;['CPU1Captured'];1;;;;{0, 24, 2, 27};{0, 1, 5, 6, 8, 9}
3;5;Player 1;0;70;30;-100;;14;1;True;;0;EC:Input:B =70;{' WC Name: T -=100 '};;{0, 2, 14, 24, 27};{0, 1, 4, 5, 6, 8, 9}
4;6;Player 0;25;0;0;0;[0, 3, 1];0;0;False;['CPU1Captured'];2;;;;{0, 2, 14, 24, 27};{0, 1, 4, 5, 6, 8, 9}
4;7;Player 1;0;-1;30;-90;[2];23;1;True;;0;EC:Task: T = xx9x;{' WC Name: A=0,B=-1,C=N '};;{0, 2, 14, 23, 24, 27};{0, 1, 4, 5, 6, 7, 8, 9}
5;8;Player 0;25;0;0;0;[0, 3];25;2;True;;0;EC:Task: T += sum all;"{' WC Name: C=NULL; ', ' WC Name: B,C=0; '}";;{0, 2, 14, 23, 24, 25, 27};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
5;9;Player 1;0;-1;75;-90;[0];19;1;True;;0;EC:Input:C =75;"{' WC Name: A=NULL; '}";;{0, 2, 14, 19, 23, 24, 25, 27};{0}
6;10;Player 0;25;30;0;0;[0, 3];12;0;True;;0;EC:Input:B =30;;;{0, 2, 12, 14, 19, 23, 24, 25, 27};{0}
6;11;Player 1;25;-1;75;-90;;3;0;True;;0;EC:Input:2 digit number<30;;;{0, 2, 3, 12, 14, 19, 23, 24, 25, 27};{0}
7;12;Player 0;25;30;0;0;[0, 3];22;1;True;;0;EC:Task: T += A+B+C;{' WC Name: T =xx00 '};;{0, 2, 3, 12, 14, 19, 22, 23, 24, 25, 27};{0, 6}
7;13;Player 1;25;1;75;-90;;9;0;True;;0;EC:Input: sum dice of all players;;;{0, 2, 3, 9, 12, 14, 19, 22, 23, 24, 25, 27};{0, 6}
8;14;Player 0;25;30;0;0;[0, 3, 1];21;1;True;;0;EC:Task: T = A(*)+B;"{' WC Name: B=NULL; '}";;{0, 2, 3, 9, 12, 14, 19, 21, 22, 23, 24, 25, 27};{0, 1, 6}
8;15;Player 1;25;1;75;-90;;28;0;True;;0;EC:Resource: Restart;;;{0, 2, 3, 9, 12, 14, 19, 21, 22, 23, 24, 25, 27, 28};{0, 1, 6}
9;16;Player 0;5;30;0;0;[3, 1];4;0;True;;0;EC:Input:A =5;;;{0, 2, 3, 4, 9, 12, 14, 19, 21, 22, 23, 24, 25, 27, 28};{0, 1, 6}
