roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;61;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;0;0;[1];22;1;True;;0;EC:Task: T += A+B+C;"{' WC Name: B=NULL; '}";;{0, 22};{0, 1}
2;2;Player 0;4;0;0;0;[0];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 9, 22};{0, 1}
2;3;Player 1;0;0;0;0;[1];34;0;True;;0;EC:Resource: Restart;;;{0, 9, 34, 22};{0, 1}
3;4;Player 0;10;0;0;0;;5;0;True;;0;EC:Input:A =10;;;{0, 34, 5, 9, 22};{0, 1}
3;5;Player 1;0;0;0;0;[1, 3, 2];25;2;True;;0;EC:Task: T += sum all;"{' WC Name: T =xx00 ', ' WC Name: C=NULL; '}";;{0, 34, 5, 9, 22, 25};{0, 1, 2, 6}
4;6;Player 0;10;-10;75;0;;19;1;True;;0;EC:Input:C =75;{' WC Name: B=-10 '};;{0, 34, 5, 9, 19, 22, 25};{0, 1, 2, 6, 8}
4;7;Player 1;0;0;45;0;[1, 3];18;0;True;;0;EC:Input:C =45;;;{0, 34, 5, 9, 18, 19, 22, 25};{0, 1, 2, 6, 8}
5;8;Player 0;10;-10;25;0;;17;0;True;;0;EC:Input:C =25;;;{0, 34, 5, 9, 17, 18, 19, 22, 25};{0, 1, 2, 6, 8}
5;9;Player 1;5;0;45;0;[1, 3];4;0;True;;0;EC:Input:A =5;;;{0, 34, 4, 5, 9, 17, 18, 19, 22, 25};{0, 1, 2, 6, 8}
6;10;Player 0;10;16;25;0;;1;1;True;['CPU1Captured'];0;EC:Input:2 digit number<50;{' WC Name: Capture CPU '};;{0, 1, 34, 4, 5, 9, 17, 18, 19, 22, 25};{0, 1, 2, 5, 6, 8}
6;11;Player 1;0;-1;45;0;[3, 2];23;1;True;;0;EC:Task: T = xx9x;{' WC Name: A=0,B=-1,C=N '};;{0, 1, 34, 4, 5, 9, 17, 18, 19, 22, 23, 25};{0, 1, 2, 5, 6, 7, 8}
