60;118;Player 0;25;20;0;24;[1, 2];3;0;True;;0;EC:Input:2 digit number<30;;;{0, 3, 28, 29, 30};{0, 1, 3, 6}
60;119;Player 1;10;20;15;-195;[2, 0, 3];5;0;True;;0;EC:Input:A =10;;;{0, 5, 18, 28, 29, 30};{0, 3}
61;120;Player 0;25;0;0;24;[1, 2, 3];24;2;True;['CPU1Captured'];0;EC:Task: T += sum all/2;"{' WC Name: B,C=0; ', ' WC Name: Capture CPU '}";;{0, 8, 21, 24, 28, 29, 30};{0, 3, 5, 6}
61;121;Player 1;10;20;3;-195;[0, 3];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 9, 10, 11, 16, 28, 29, 30};{0}
62;122;Player 0;25;0;0;24;[1, 2, 3];0;0;False;['CPU1Captured'];1;;;;{0, 2, 4, 12, 16, 28, 29, 30};{0, 5}
62;123;Player 1;75;20;3;-195;[0, 3];8;0;True;;0;EC:Input:A =75;;;{0, 2, 4, 6, 8, 16, 17, 28, 29, 30};{0, 9}
63;124;Player 0;25;0;0;24;[1, 2, 3];0;0;False;['CPU1Captured'];2;;;;{0, 4, 7, 16, 17, 22, 28, 29, 30};{0, 6}
63;125;Player 1;75;50;3;-195;[0, 3];13;0;True;;0;EC:Input:B =50;;;{0, 4, 7, 13, 16, 17, 18, 25, 26, 28, 29, 30};{0, 1, 7}
64;126;Player 0;25;20;0;24;[1, 2, 3];11;0;True;;0;EC:Input:B =20;;;{0, 4, 5, 7, 11, 12, 16, 17, 25, 28, 29, 30};{0}
64;127;Player 1;75;50;-20;-195;[0, 3];21;1;True;;0;EC:Task: T = A*B;{' WC Name: C=-20 '};;{0, 4, 5, 7, 9, 13, 16, 17, 18, 21, 25, 28, 29, 30};{0, 9}
65;128;Player 0;25;70;0;0;[1, 2, 3];14;1;True;;0;EC:Input:B =70;{' WC Name: T =xx00 '};;{0, 4, 5, 6, 7, 10, 14, 16, 17, 18, 25, 26, 28, 29, 30};{0, 3, 4, 6}
65;129;Player 1;75;50;-20;-195;[0, 3];8;0;True;;0;EC:Input:A =75;;;{0, 2, 4, 5, 6, 7, 8, 12, 16, 17, 18, 23, 25, 28, 29, 30};{0, 1, 3}
66;130;Player 0;25;70;25;0;[1, 2, 3];17;0;True;;0;EC:Input:C =25;;;{0, 9, 17, 27, 30};{0, 8, 3}
66;131;Player 1;75;50;-20;-200;[0, 3];20;1;True;;0;EC:Task: T += A+B;{' WC Name: T =xx00 '};;{0, 6, 13, 16, 17, 20};{0, 6}
67;132;Player 0;25;70;25;-100;[1, 2, 3];25;2;True;;0;EC:Task: T += sum all;"{' WC Name: T -=100 ', ' WC Name: B=NULL; '}";;{0, 2, 10, 16, 17, 21, 25};{0, 1, 4, 6, 7}
67;133;Player 1;75;20;-20;-200;[0, 3];11;0;True;;0;EC:Input:B =20;;;{0, 2, 7, 11, 13, 17, 21, 23};{0, 8, 4, 6}
68;134;Player 0;50;70;25;-100;[1, 2, 3];7;0;True;;0;EC:Input:A =50;;;{0, 2, 7, 10, 13, 17, 18, 20, 23};{0, 8, 6, 7}
