roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;46;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;75;0;0;0;;8;0;True;;0;EC:Input:A =75;;;{0, 8};{0}
2;2;Player 0;46;0;0;0;[0];33;0;True;;0;EC:Resource: Restart;;;{0, 8, 33};{0}
2;3;Player 1;75;0;0;75;[1];20;1;True;;0;aEC:Task: T += A+B;"{' WC Name: B=NULL; '}";;{0, 8, 20, 33};{0, 1}
3;4;Player 0;46;0;0;9;[0, 2];23;1;True;;0;EC:Task: T = xx9x;"{' WC Name: C=NULL; '}";;{0, 33, 8, 20, 23};{0, 1, 2}
3;5;Player 1;75;-10;0;75;;1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: B=-10 '};;{0, 33, 1, 8, 20, 23};{0, 1, 2, 8}
4;6;Player 0;0;-1;0;9;[2, 3];28;2;True;;0;EC:Task: x = 2x ! total;{' WC Name: T =xx00 ', ' WC Name: A=0,B=-1,C=N '};;{0, 33, 1, 8, 20, 23, 28};{0, 1, 2, 6, 7, 8}
4;7;Player 1;75;50;0;75;;13;0;True;;0;EC:Input:B =50;;;{0, 33, 1, 8, 13, 20, 23, 28};{0, 1, 2, 6, 7, 8}
5;8;Player 0;0;0;0;9;[3];14;1;True;;0;EC:Input:B =70;"{' WC Name: B,C=0; '}";;{0, 33, 1, 8, 13, 14, 20, 23, 28};{0, 1, 2, 3, 6, 7, 8}
5;9;Player 1;75;50;45;75;;18;0;True;;0;EC:Input:C =45;;;{0, 33, 1, 8, 13, 14, 18, 20, 23, 28};{0, 1, 2, 3, 6, 7, 8}
6;10;Player 0;0;0;-20;9;[3];27;2;True;;0;EC:Task: T += (2*)(A+B+C);{' WC Name: C=-20 ', ' WC Name: T -=100 '};;{0, 33, 1, 8, 13, 14, 18, 20, 23, 27, 28};{0, 1, 2, 3, 4, 6, 7, 8, 9}
6;11;Player 1;75;50;15;75;;16;0;True;;0;EC:Input:C =15;;;{0, 33, 1, 8, 13, 14, 16, 18, 20, 23, 27, 28};{0, 1, 2, 3, 4, 6, 7, 8, 9}
7;12;Player 0;0;0;10;9;[3];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 33, 1, 8, 9, 13, 14, 16, 18, 20, 23, 27, 28};{0, 1, 2, 3, 4, 6, 7, 8, 9}
7;13;Player 1;75;50;15;75;;30;0;True;;0;EC:Resource: Freelancer;;;{0, 33, 1, 8, 9, 13, 14, 16, 18, 20, 23, 27, 28, 30};{0, 1, 2, 3, 4, 6, 7, 8, 9}
