roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;29;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;0;0;;14;1;True;;0;EC:Input:B =70;"{' WC Name: B,C=0; '}";;{0, 14};{0, 3}
2;2;Player 0;29;0;25;0;[0];17;0;True;;0;EC:Input:C =25;;;{0, 17, 14};{0, 3}
2;3;Player 1;0;0;0;9;[2];23;1;True;;0;EC:Task: T = xx9x;"{' WC Name: C=NULL; '}";;{0, 17, 14, 23};{0, 2, 3}
3;4;Player 0;29;0;25;0;[0];29;0;True;;0;EC:Resource: Restart;;;{0, 14, 17, 23, 29};{0, 2, 3}
3;5;Player 1;0;0;15;9;;16;0;True;;0;EC:Input:C =15;;;{0, 14, 16, 17, 23, 29};{0, 2, 3}
4;6;Player 0;29;0;25;0;[0];32;0;True;;0;EC:Resource: Restart;;;{0, 32, 14, 16, 17, 23, 29};{0, 2, 3}
4;7;Player 1;0;0;-20;0;;21;1;True;;0;EC:Task: T = A(*)+B;{' WC Name: C=-20 '};;{0, 32, 14, 16, 17, 21, 23, 29};{0, 9, 2, 3}
5;8;Player 0;75;0;25;0;;8;0;True;;0;EC:Input:A =75;;;{0, 32, 8, 14, 16, 17, 21, 23, 29};{0, 9, 2, 3}
5;9;Player 1;0;30;-20;0;;12;0;True;;0;EC:Input:B =30;;;{0, 32, 8, 12, 14, 16, 17, 21, 23, 29};{0, 9, 2, 3}
6;10;Player 0;0;-1;25;75;[2, 1];26;2;True;;0;EC:Task: T += B+((2*)A);"{' WC Name: A=0,B=-1,C=N ', ' WC Name: B=NULL; '}";;{0, 32, 8, 12, 14, 16, 17, 21, 23, 26, 29};{0, 1, 2, 3, 7, 9}
6;11;Player 1;0;30;-20;-100;;24;2;True;;0;EC:Task: T += sum all/2;{' WC Name: T =xx00 ', ' WC Name: T -=100 '};;{0, 32, 8, 12, 14, 16, 17, 21, 23, 24, 26, 29};{0, 1, 2, 3, 4, 6, 7, 9}
7;12;Player 0;0;-1;20;75;[1];3;0;True;;0;EC:Input:2 digit number<30;;;{0, 32, 3, 8, 12, 14, 16, 17, 21, 23, 24, 26, 29};{0, 1, 2, 3, 4, 6, 7, 9}
7;13;Player 1;0;-10;45;-100;;1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: B=-10 '};;{0, 32, 1, 3, 8, 12, 14, 16, 17, 21, 23, 24, 26, 29};{0, 1, 2, 3, 4, 6, 7, 8, 9}
8;14;Player 0;0;-1;20;75;[1, 3];27;2;True;['CPU1Captured'];0;EC:Task: T += (2*)(A+B+C);{' WC Name: Capture CPU '};;{0, 1, 32, 3, 8, 12, 14, 16, 17, 21, 23, 24, 26, 27, 29};{5}
