roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;78;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;0;0;[2];24;2;True;;0;EC:Task: T += sum all/2;"{' WC Name: C=NULL; ', ' WC Name: T =xx00 '}";;{0, 24};{0, 2, 6}
2;2;Player 0;78;0;0;0;[0];28;0;True;;0;EC:Resource: Restart;;;{0, 24, 28};{0, 2, 6}
2;3;Player 1;0;0;15;0;;16;0;True;;0;EC:Input:C =15;;;{0, 24, 28, 16};{0, 2, 6}
3;4;Player 0;25;0;0;0;;6;0;True;;0;EC:Input:A =25;;;{0, 6, 16, 24, 28};{0, 2, 6}
3;5;Player 1;0;-1;30;-100;[2];27;2;True;;0;EC:Task: x = 2x ! total;{' WC Name: T -=100 ', ' WC Name: A=0,B=-1,C=N '};;{0, 6, 16, 24, 27, 28};{0, 2, 4, 6, 7}
4;6;Player 0;25;0;0;0;;30;0;True;;0;EC:Resource: Bazar;;;{0, 6, 16, 24, 27, 28, 30};{0, 2, 4, 6, 7}
4;7;Player 1;50;-1;30;-100;[2];7;0;True;;0;EC:Input:A =50;;;{0, 6, 7, 16, 24, 27, 28, 30};{0, 2, 4, 6, 7}
5;8;Player 0;25;36;0;0;;1;1;True;['CPU1Captured'];0;EC:Input:2 digit number<50;{' WC Name: Capture CPU '};;{0, 1, 6, 7, 16, 24, 27, 28, 30};{0, 2, 4, 5, 6, 7}
5;9;Player 1;50;-10;0;-100;[3];25;2;True;;0;EC:Task: T += sum all;"{' WC Name: B=-10 ', ' WC Name: B,C=0; '}";;{0, 1, 6, 7, 16, 24, 25, 27, 28, 30};{0, 2, 3, 4, 5, 6, 7, 8}
6;10;Player 0;25;36;0;0;;0;0;False;['CPU1Captured'];1;;;;{0, 1, 6, 7, 16, 24, 25, 27, 28, 30};{0, 2, 3, 4, 5, 6, 7, 8}
6;11;Player 1;50;20;0;-100;[3];11;0;True;;0;EC:Input:B =20;;;{0, 1, 6, 7, 11, 16, 24, 25, 27, 28, 30};{0, 2, 3, 4, 5, 6, 7, 8}
7;12;Player 0;25;36;0;0;;0;0;False;['CPU1Captured'];2;;;;{0, 1, 6, 7, 11, 16, 24, 25, 27, 28, 30};{0, 2, 3, 4, 5, 6, 7, 8}
7;13;Player 1;50;20;5;-100;[3];15;0;True;;0;EC:Input:C =5;;;{0, 1, 6, 7, 11, 15, 16, 24, 25, 27, 28, 30};{0, 2, 3, 4, 5, 6, 7, 8}
8;14;Player 0;25;36;45;0;;18;0;True;;0;EC:Input:C =45;;;{0, 1, 6, 7, 11, 15, 16, 18, 24, 25, 27, 28, 30};{0, 2, 3, 4, 5, 6, 7, 8}
8;15;Player 1;50;20;-20;-100;[3, 1];26;2;True;;0;EC:Task: T += B+((2*)A);"{' WC Name: C=-20 ', ' WC Name: B=NULL; '}";;{0, 1, 6, 7, 11, 15, 16, 18, 24, 25, 26, 27, 28, 30};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
9;16;Player 0;27;36;45;0;;3;0;True;;0;EC:Input:2 digit number<30;;;{0, 1, 3, 6, 7, 11, 15, 16, 18, 24, 25, 26, 27, 28, 30};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
9;17;Player 1;50;50;-20;-100;[3];13;0;True;;0;EC:Input:B =50;;;{0, 1, 3, 6, 7, 11, 13, 15, 16, 18, 24, 25, 26, 27, 28, 30};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
10;18;Player 0;27;30;45;0;;12;0;True;;0;EC:Input:B =30;;;{0, 1, 3, 6, 7, 11, 12, 13, 15, 16, 18, 24, 25, 26, 27, 28, 30};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
10;19;Player 1;50;10;-20;-100;[3];10;0;True;;0;EC:Input:B =10;;;{0, 1, 3, 6, 7, 10, 11, 12, 13, 15, 16, 18, 24, 25, 26, 27, 28, 30};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
11;20;Player 0;27;30;45;0;;33;0;True;;0;EC:Resource: Restart;;;{0, 1, 3, 6, 7, 10, 11, 12, 13, 15, 16, 18, 24, 25, 26, 27, 28, 30, 33};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
11;21;Player 1;50;10;25;-100;[3];17;0;True;;0;EC:Input:C =25;;;{0, 1, 3, 6, 7, 10, 11, 12, 13, 15, 16, 17, 18, 24, 25, 26, 27, 28, 30, 33};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
12;22;Player 0;27;30;45;102;;22;1;True;;0;EC:Task: T += A+B+C;;Player 0;{0, 1, 3, 6, 7, 10, 11, 12, 13, 15, 16, 17, 18, 22, 24, 25, 26, 27, 28, 30, 33};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
