roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;12;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;49;0;0;0;[1];2;1;True;;0;EC:Input:2 digit number<90;"{' WC Name: B=NULL; '}";;{0, 2};{0, 1}
2;2;Player 0;12;0;0;0;[0];32;0;True;;0;EC:Resource: Restart;;;{0, 2, 32};{0, 1}
2;3;Player 1;49;20;0;0;;11;0;True;;0;EC:Input:B =20;;;{0, 11, 2, 32};{0, 1}
3;4;Player 0;12;0;25;0;[0];17;0;True;;0;EC:Input:C =25;;;{0, 32, 2, 11, 17};{0, 1}
3;5;Player 1;49;-10;0;69;;22;1;True;;0;EC:Task: T += A+B+C;{' WC Name: B=-10 '};;{0, 32, 2, 11, 17, 22};{0, 1, 8}
4;6;Player 0;12;30;25;0;[0];12;0;True;;0;EC:Input:B =30;;;{0, 32, 2, 11, 12, 17, 22};{0, 1, 8}
4;7;Player 1;49;-10;0;69;;34;0;True;;0;EC:Resource: Restart;;;{0, 32, 2, 34, 11, 12, 17, 22};{0, 1, 8}
5;8;Player 0;12;30;25;0;[0];31;0;True;;0;EC:Resource: Bazar;;;{0, 32, 2, 34, 11, 12, 17, 22, 31};{0, 1, 8}
5;9;Player 1;49;28;0;-31;;1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: T -=100 '};;{0, 32, 2, 34, 1, 11, 12, 17, 22, 31};{0, 1, 4, 8}
6;10;Player 0;12;30;5;0;[0];15;0;True;;0;EC:Input:C =5;;;{0, 1, 32, 2, 34, 11, 12, 15, 17, 22, 31};{0, 1, 4, 8}
6;11;Player 1;49;28;-20;46;;20;1;True;;0;aEC:Task: T += A+B;{' WC Name: C=-20 '};;{0, 1, 32, 2, 34, 11, 12, 15, 17, 20, 22, 31};{0, 1, 4, 8, 9}
7;12;Player 0;12;30;5;0;[0, 3];24;2;True;['CPU1Captured'];0;EC:Task: T += sum all/2;{' WC Name: T =xx00 ', ' WC Name: Capture CPU '};;{0, 1, 32, 2, 34, 11, 12, 15, 17, 20, 22, 24, 31};{0, 1, 4, 5, 6, 8, 9}
7;13;Player 1;49;28;-20;49;[2];23;1;True;;0;EC:Task: T = xx9x;"{' WC Name: C=NULL; '}";;{0, 1, 32, 2, 34, 11, 12, 15, 17, 20, 22, 23, 24, 31};{0, 1, 2, 4, 5, 6, 8, 9}
8;14;Player 0;12;30;5;0;[0, 3];0;0;False;['CPU1Captured'];1;;;;{0, 1, 32, 2, 34, 11, 12, 15, 17, 20, 22, 23, 24, 31};{0, 1, 2, 4, 5, 6, 8, 9}
8;15;Player 1;49;28;45;49;;18;0;True;;0;EC:Input:C =45;;;{0, 1, 32, 2, 34, 11, 12, 15, 17, 18, 20, 22, 23, 24, 31};{0, 1, 2, 4, 5, 6, 8, 9}
9;16;Player 0;12;30;5;0;[0, 3];0;0;False;['CPU1Captured'];2;;;;{0, 1, 32, 2, 34, 11, 12, 15, 17, 18, 20, 22, 23, 24, 31};{0, 1, 2, 4, 5, 6, 8, 9}
9;17;Player 1;49;28;15;49;;16;0;True;;0;EC:Input:C =15;;;{0, 1, 32, 2, 34, 11, 12, 15, 16, 17, 18, 20, 22, 23, 24, 31};{0, 1, 2, 4, 5, 6, 8, 9}
10;18;Player 0;50;30;5;0;[3];7;0;True;;0;EC:Input:A =50;;;{0, 1, 32, 2, 34, 7, 11, 12, 15, 16, 17, 18, 20, 22, 23, 24, 31};{0, 1, 2, 4, 5, 6, 8, 9}
10;19;Player 1;49;28;15;141;;25;2;True;;0;EC:Task: T += sum all;;Player 1;{0, 1, 32, 2, 34, 7, 11, 12, 15, 16, 17, 18, 20, 22, 23, 24, 25, 31};{0, 1, 2, 4, 5, 6, 8, 9}
