roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;51;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;0;-20;-100;;26;2;True;;0;EC:Task: T += B+((2*)A);{' WC Name: C=-20 ', ' WC Name: T -=100 '};;{0, 26};{0, 9, 4}
2;2;Player 0;51;30;0;0;[0];12;0;True;;0;EC:Input:B =30;;;{0, 26, 12};{0, 9, 4}
2;3;Player 1;75;0;-20;-100;;8;0;True;;0;EC:Input:A =75;;;{0, 8, 26, 12};{0, 9, 4}
3;4;Player 0;51;20;0;0;[0];11;0;True;;0;EC:Input:B =20;;;{0, 8, 11, 12, 26};{0, 9, 4}
3;5;Player 1;75;0;-20;-100;;20;1;True;;0;aEC:Task: T += A+B;{' WC Name: T =xx00 '};;{0, 8, 11, 12, 20, 26};{0, 9, 4, 6}
4;6;Player 0;51;20;0;9;[0, 2];23;1;True;;0;EC:Task: T = xx9x;"{' WC Name: C=NULL; '}";;{0, 8, 11, 12, 20, 23, 26};{0, 2, 4, 6, 9}
4;7;Player 1;75;0;-20;-100;;34;0;True;;0;EC:Resource: Restart;;;{0, 34, 8, 11, 12, 20, 23, 26};{0, 2, 4, 6, 9}
5;8;Player 0;51;50;0;9;[0, 2];13;0;True;;0;EC:Input:B =50;;;{0, 34, 8, 11, 12, 13, 20, 23, 26};{0, 2, 4, 6, 9}
5;9;Player 1;75;0;15;-100;;16;0;True;;0;EC:Input:C =15;;;{0, 34, 8, 11, 12, 13, 16, 20, 23, 26};{0, 2, 4, 6, 9}
6;10;Player 0;25;50;0;9;[2];6;0;True;;0;EC:Input:A =25;;;{0, 34, 6, 8, 11, 12, 13, 16, 20, 23, 26};{0, 2, 4, 6, 9}
6;11;Player 1;75;0;15;-55;[1];24;2;True;['CPU1Captured'];0;EC:Task: T += sum all/2;"{' WC Name: Capture CPU ', ' WC Name: B=NULL; '}";;{0, 34, 6, 8, 11, 12, 13, 16, 20, 23, 24, 26};{0, 1, 2, 4, 5, 6, 9}
7;12;Player 0;25;50;0;9;[2];31;0;True;;0;EC:Resource: Bazar;;;{0, 34, 6, 8, 11, 12, 13, 16, 20, 23, 24, 26, 31};{0, 1, 2, 4, 5, 6, 9}
7;13;Player 1;75;0;15;-55;[1];0;0;False;['CPU1Captured'];1;;;;{0, 34, 6, 8, 11, 12, 13, 16, 20, 23, 24, 26, 31};{0, 1, 2, 4, 5, 6, 9}
8;14;Player 0;25;0;0;75;;21;1;True;;0;EC:Task: T = A(*)+B;"{' WC Name: B,C=0; '}";;{0, 34, 6, 8, 11, 12, 13, 16, 20, 21, 23, 24, 26, 31};{0, 1, 2, 3, 4, 5, 6, 9}
8;15;Player 1;75;0;15;-55;[1];0;0;False;['CPU1Captured'];2;;;;{0, 34, 6, 8, 11, 12, 13, 16, 20, 21, 23, 24, 26, 31};{0, 1, 2, 3, 4, 5, 6, 9}
9;16;Player 0;25;0;0;100;;27;2;True;;0;EC:Task: T += (2*)(A+B+C);;Player 0;{0, 34, 6, 8, 11, 12, 13, 16, 20, 21, 23, 24, 26, 27, 31};{0, 1, 2, 3, 4, 5, 6, 9}
