roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
0;0;Player 0;74;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
0;1;Player 1;0;0;25;0;;17;0;True;;0;EC:Input:C =25;;;{0, 17};{0}
1;2;Player 0;74;70;-20;0;[0];14;1;True;;0;EC:Input:B =70;{' WC Name: C=-20 '};;{0, 17, 14};{0, 9}
1;3;Player 1;0;-1;25;0;[2];1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: A=0,B=-1,C=N '};;{0, 17, 14, 1};{0, 9, 7}
2;4;Player 0;85;-10;-20;0;;2;1;True;;0;EC:Input:2 digit number<90;{' WC Name: B=-10 '};;{0, 1, 2, 14, 17};{0, 9, 8, 7}
2;5;Player 1;0;10;25;0;[2];10;0;True;;0;EC:Input:B =10;;;{0, 1, 2, 10, 14, 17};{0, 9, 8, 7}
3;6;Player 0;5;-10;-20;0;;4;0;True;;0;EC:Input:A =5;;;{0, 1, 2, 4, 10, 14, 17};{0, 9, 8, 7}
3;7;Player 1;25;10;25;0;[2];6;0;True;;0;EC:Input:A =25;;;{0, 1, 2, 4, 6, 10, 14, 17};{0, 9, 8, 7}
4;8;Player 0;5;50;-20;0;;13;0;True;;0;EC:Input:B =50;;;{0, 1, 2, 4, 6, 10, 13, 14, 17};{0, 9, 8, 7}
4;9;Player 1;25;10;25;0;[2, 3];22;1;True;;0;EC:Task: T += A+B+C;"{' WC Name: C=NULL; '}";;{0, 1, 2, 4, 6, 10, 13, 14, 17, 22};{0, 2, 7, 8, 9}
5;10;Player 0;5;50;24;0;;3;0;True;;0;EC:Input:2 digit number<30;;;{0, 1, 2, 3, 4, 6, 10, 13, 14, 17, 22};{0, 2, 7, 8, 9}
5;11;Player 1;25;10;15;0;[2, 3];16;0;True;;0;EC:Input:C =15;;;{0, 1, 2, 3, 4, 6, 10, 13, 14, 16, 17, 22};{0, 2, 7, 8, 9}
6;12;Player 0;5;30;24;0;;12;0;True;;0;EC:Input:B =30;;;{0, 1, 2, 3, 4, 6, 10, 12, 13, 14, 16, 17, 22};{0, 2, 7, 8, 9}
6;13;Player 1;25;10;15;-100;[2, 3, 1];26;2;True;;0;EC:Task: T += B+(2*A);"{' WC Name: B=NULL; ', ' WC Name: T -=100 '}";;{0, 1, 2, 3, 4, 6, 10, 12, 13, 14, 16, 17, 22, 26};{0, 1, 2, 4, 7, 8, 9}
7;14;Player 0;5;30;45;0;;18;0;True;;0;EC:Input:C =45;;;{0, 1, 2, 3, 4, 6, 10, 12, 13, 14, 16, 17, 18, 22, 26};{0, 1, 2, 4, 7, 8, 9}
7;15;Player 1;25;10;15;-100;[2, 3, 1];28;0;True;;0;EC:Resource: Restart;;;{0, 1, 2, 3, 4, 6, 10, 12, 13, 14, 16, 17, 18, 22, 26, 28};{0, 1, 2, 4, 7, 8, 9}
8;16;Player 0;75;30;45;0;;8;0;True;;0;EC:Input:A =75;;;{0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 16, 17, 18, 22, 26, 28};{0, 1, 2, 4, 7, 8, 9}
8;17;Player 1;25;10;15;-100;[2, 3, 1];29;0;True;;0;EC:Resource: Freelancer;;;{0, 1, 2, 3, 4, 6, 8, 10, 12, 13, 14, 16, 17, 18, 22, 26, 28, 29};{0, 1, 2, 4, 7, 8, 9}
