roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;95;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;10;0;0;;10;0;True;;0;EC:Input:B =10;;;{0, 10};{0}
2;2;Player 0;95;-10;0;0;[0, 3];25;2;True;;0;EC:Task: T += sum all;"{' WC Name: B=NULL; ', ' WC Name: B=-10 '}";;{0, 25, 10};{0, 1, 8}
2;3;Player 1;0;10;5;0;;15;0;True;;0;EC:Input:C =5;;;{0, 25, 10, 15};{0, 1, 8}
3;4;Player 0;95;30;0;0;[0, 3];12;0;True;;0;EC:Input:B =30;;;{0, 10, 12, 15, 25};{0, 1, 8}
3;5;Player 1;0;10;45;0;;18;0;True;;0;EC:Input:C =45;;;{0, 10, 12, 15, 18, 25};{0, 1, 8}
4;6;Player 0;95;30;0;0;[0, 3];31;0;True;;0;EC:Resource: Bazar;;;{0, 10, 12, 15, 18, 25, 31};{0, 1, 8}
4;7;Player 1;0;20;45;0;;11;0;True;;0;EC:Input:B =20;;;{0, 10, 11, 12, 15, 18, 25, 31};{0, 1, 8}
5;8;Player 0;5;30;0;0;[3];4;0;True;;0;EC:Input:A =5;;;{0, 4, 10, 11, 12, 15, 18, 25, 31};{0, 1, 8}
5;9;Player 1;0;20;-20;0;;19;1;True;;0;EC:Input:C =75;{' WC Name: C=-20 '};;{0, 4, 10, 11, 12, 15, 18, 19, 25, 31};{0, 1, 8, 9}
6;10;Player 0;50;30;0;0;[3];7;0;True;;0;EC:Input:A =50;;;{0, 4, 7, 10, 11, 12, 15, 18, 19, 25, 31};{0, 1, 8, 9}
6;11;Player 1;75;20;-20;0;;8;0;True;;0;EC:Input:A =75;;;{0, 4, 7, 8, 10, 11, 12, 15, 18, 19, 25, 31};{0, 1, 8, 9}
7;12;Player 0;50;70;0;0;[3];14;1;True;;0;EC:Input:B =70;{' WC Name: T -=100 '};;{0, 4, 7, 8, 10, 11, 12, 14, 15, 18, 19, 25, 31};{0, 1, 4, 8, 9}
7;13;Player 1;75;20;16;0;;3;0;True;;0;EC:Input:2 digit number<30;;;{0, 3, 4, 7, 8, 10, 11, 12, 14, 15, 18, 19, 25, 31};{0, 1, 4, 8, 9}
8;14;Player 0;50;50;0;0;[3];13;0;True;;0;EC:Input:B =50;;;{0, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 25, 31};{0, 1, 4, 8, 9}
8;15;Player 1;75;20;16;0;;20;1;True;;0;aEC:Task: T += A+B;{' WC Name: T =xx00 '};;{0, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 20, 25, 31};{0, 1, 4, 6, 8, 9}
9;16;Player 0;50;50;0;0;[3];32;0;True;;0;EC:Resource: Restart;;;{0, 32, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 20, 25, 31};{0, 1, 4, 6, 8, 9}
9;17;Player 1;0;0;0;55;;24;2;True;;0;EC:Task: T += sum all/2;"{' WC Name: A=0,B=-1,C=N ', ' WC Name: B,C=0; '}";;{0, 32, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 20, 24, 25, 31};{0, 1, 3, 4, 6, 7, 8, 9}
10;18;Player 0;50;50;0;0;[3, 2];27;2;True;['CPU1Captured'];0;EC:Task: T += (2*)(A+B+C);"{' WC Name: C=NULL; ', ' WC Name: Capture CPU '}";;{0, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 20, 24, 25, 27, 31, 32};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
10;19;Player 1;0;0;0;55;;33;0;True;;0;EC:Resource: Restart;;;{0, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 20, 24, 25, 27, 31, 32, 33};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
11;20;Player 0;50;50;0;0;[3, 2];0;0;False;['CPU1Captured'];1;;;;{0, 3, 4, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 20, 24, 25, 27, 31, 32, 33};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
11;21;Player 1;10;0;0;55;;5;0;True;;0;EC:Input:A =10;;;{0, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 20, 24, 25, 27, 31, 32, 33};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
12;22;Player 0;50;50;0;0;[3, 2];0;0;False;['CPU1Captured'];2;;;;{0, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 20, 24, 25, 27, 31, 32, 33};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
12;23;Player 1;10;0;0;59;[0];23;1;True;;0;EC:Task: T = xx9x;"{' WC Name: A=NULL; '}";;{0, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 18, 19, 20, 23, 24, 25, 27, 31, 32, 33};{0}
13;24;Player 0;50;50;25;0;[3];17;0;True;;0;EC:Input:C =25;;;{0, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 23, 24, 25, 27, 31, 32, 33};{0}
13;25;Player 1;10;0;0;59;[0];21;1;True;;0;EC:Task: T = A(*)+B;"{' WC Name: B,C=0; '}";;{0, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 27, 31, 32, 33};{0, 3}
14;26;Player 0;50;50;25;0;[3];30;0;True;;0;EC:Resource: Freelancer;;;{0, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 27, 30, 31, 32, 33};{0, 3}
14;27;Player 1;3;0;0;59;[2];2;1;True;;0;EC:Input:2 digit number<90;"{' WC Name: C=NULL; '}";;{0, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 23, 24, 25, 27, 30, 31, 32, 33};{0, 2, 3}
15;28;Player 0;50;50;15;0;[3];16;0;True;;0;EC:Input:C =15;;;{0, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 30, 31, 32, 33};{0, 2, 3}
15;29;Player 1;25;0;0;59;[2];6;0;True;;0;EC:Input:A =25;;;{0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 30, 31, 32, 33};{0, 2, 3}
16;30;Player 0;0;-1;-20;0;[3, 2];28;2;True;;0;EC:Task: x = 2x ! total;{' WC Name: A=0,B=-1,C=N ', ' WC Name: C=-20 '};;{0, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 30, 31, 32, 33};{0, 2, 3, 7, 9}
16;31;Player 1;25;0;5;59;[2];9;0;True;;0;EC:Input: sum dice of all players;;;{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 27, 28, 30, 31, 32, 33};{0, 2, 3, 7, 9}
17;32;Player 0;0;-1;-20;0;[3, 2, 1];22;1;True;;0;EC:Task: T += A+B+C;"{' WC Name: B=NULL; '}";;{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 30, 31, 32, 33};{0, 1, 2, 3, 7, 9}
17;33;Player 1;25;-10;5;59;[2, 3];26;2;True;['CPU1Captured'];0;EC:Task: T += B+((2*)A);{' WC Name: Capture CPU ', ' WC Name: B=-10 '};;{0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33};{0, 1, 2, 3, 5, 7, 8, 9}
18;34;Player 0;0;-1;9;0;[3, 1];1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: T =xx00 '};;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33};{0, 1, 2, 3, 5, 6, 7, 8, 9}
18;35;Player 1;25;-10;5;59;[2, 3];0;0;False;['CPU1Captured'];1;;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33};{0, 1, 2, 3, 5, 6, 7, 8, 9}
19;36;Player 0;0;-1;9;0;[3, 1];34;0;True;;0;EC:Resource: Restart;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34};{0, 1, 2, 3, 5, 6, 7, 8, 9}
19;37;Player 1;25;-10;5;59;[2, 3];0;0;False;['CPU1Captured'];2;;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34};{0, 1, 2, 3, 5, 6, 7, 8, 9}
20;38;Player 0;0;-1;9;0;[3, 1];29;0;True;;0;EC:Resource: Restart;;;{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34};{0, 1, 2, 3, 5, 6, 7, 8, 9}
