roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;0;70;-20;49;[1, 2, 0];14;1;True;;0;EC:Input:B =70;"{' WC Name: C=NULL; '}";;{0, 13, 14, 17, 19, 23, 25, 26, 28, 29, 30};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
1;1;Player 1;0;-1;25;-79;[3, 1, 2];2;1;True;;0;EC:Input:2 digit number<90;{' WC Name: A=0,B=-1,C=N '};;{0, 2};{0, 7}
2;2;Player 0;10;70;-20;49;[1, 2, 0];5;0;True;;0;EC:Input:A =10;;;{0, 9, 5};{0}
2;3;Player 1;0;-1;25;-79;[3, 1, 2];17;0;True;;0;EC:Input:C =25;;;{0, 9, 14, 17};{0, 3}
3;4;Player 0;50;70;-20;49;[1, 2, 0];7;0;True;;0;EC:Input:A =50;;;{0, 7, 9, 14, 24};{0, 8, 3, 6}
3;5;Player 1;5;-1;25;-79;[3, 1, 2];4;0;True;;0;EC:Input:A =5;;;{0, 4, 9, 14, 17, 24};{0, 8, 3, 6}
4;6;Player 0;50;70;-20;49;[1, 2, 0, 3];26;2;True;;0;EC:Task: T += B+(2*A);"{' WC Name: C=-20 ', ' WC Name: B=NULL; '}";;{0, 1, 9, 14, 17, 24, 26};{0, 1, 3, 5, 6, 8, 9}
4;7;Player 1;5;-1;45;-79;[3, 1, 2];18;0;True;;0;EC:Input:C =45;;;{0, 1, 9, 14, 17, 18, 24, 25};{0, 2, 3, 5, 6, 8, 9}
5;8;Player 0;50;70;45;49;[1, 2, 0, 3];18;0;True;;0;EC:Input:C =45;;;{0, 1, 9, 14, 17, 18, 24, 25};{0, 2, 3, 5, 6, 8, 9}
5;9;Player 1;5;-1;45;-79;[3, 1, 2];4;0;True;;0;EC:Input:A =5;;;{0, 1, 4, 6, 9, 14, 17, 24, 25};{0, 2, 3, 5, 6, 8, 9}
6;10;Player 0;50;70;45;49;[1, 2, 0, 3];30;0;True;;0;EC:Resource: Bazar;;;{0, 1, 6, 9, 14, 17, 24, 25, 30};{0, 2, 3, 5, 6, 8, 9}
6;11;Player 1;5;20;45;-79;[3, 1, 2];11;0;True;;0;EC:Input:B =20;;;{0, 1, 6, 9, 11, 14, 17, 24, 25, 29};{0, 2, 3, 5, 6, 8, 9}
7;12;Player 0;50;70;5;49;[1, 2, 0, 3];15;0;True;;0;EC:Input:C =5;;;{0, 1, 6, 9, 11, 14, 15, 17, 24, 25, 29};{0, 2, 3, 5, 6, 8, 9}
7;13;Player 1;5;20;45;-79;[3, 1, 2];30;0;True;;0;EC:Resource: Bazar;;;{0, 1, 6, 9, 11, 14, 17, 23, 24, 25, 29, 30};{0, 1, 2, 3, 5, 6, 8, 9}
8;14;Player 0;50;10;5;49;[1, 2, 0, 3];10;0;True;;0;EC:Input:B =10;;;{0, 1, 6, 9, 10, 11, 12, 14, 17, 23, 24, 25, 29};{0, 1, 2, 3, 5, 6, 8, 9}
8;15;Player 1;50;20;45;-79;[3, 1, 2];7;0;True;;0;EC:Input:A =50;;;{0, 1, 5, 6, 7, 9, 11, 12, 14, 17, 23, 24, 25, 29};{0, 1, 2, 3, 5, 6, 8, 9}
9;16;Player 0;50;10;15;49;[1, 2, 0, 3];16;0;True;;0;EC:Input:C =15;;;{0, 1, 5, 6, 9, 11, 12, 14, 16, 17, 22, 23, 24, 25, 29};{0, 1, 2, 3, 4, 5, 6, 8, 9}
9;17;Player 1;0;-1;45;-79;[3, 1, 2];21;1;True;;0;EC:Task: T = A*B;{' WC Name: A=0,B=-1,C=N '};;{0, 1, 3, 5, 6, 9, 11, 12, 14, 17, 21, 22, 23, 24, 25, 29};{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}
10;18;Player 0;50;10;15;49;[1, 2, 0, 3];16;0;True;;0;EC:Input:C =15;;;{0, 1, 3, 5, 6, 9, 11, 12, 14, 16, 17, 22, 23, 24, 25, 26, 29};{7}
10;19;Player 1;0;-1;45;-79;[3, 1, 2];18;0;True;;0;EC:Input:C =45;;;{0, 1, 3, 5, 6, 9, 11, 12, 14, 17, 18, 22, 23, 24, 25, 26, 27, 29};{0, 4, 7}
11;20;Player 0;50;10;15;49;[1, 2, 0, 3];7;0;True;;0;EC:Input:A =50;;;{0, 1, 3, 5, 6, 7, 9, 11, 12, 14, 17, 22, 23, 24, 25, 26, 27, 29, 30};{0, 4, 7}
11;21;Player 1;75;-1;45;-79;[3, 1, 2];8;0;True;;0;EC:Input:A =75;;;{0, 1, 3, 5, 6, 8, 9, 10, 11, 12, 14, 17, 22, 23, 24, 25, 26, 27, 29, 30};{0, 4, 7}
12;22;Player 0;50;10;45;49;[1, 2, 0, 3];18;0;True;;0;EC:Input:C =45;;;{0, 1, 3, 5, 6, 9, 10, 11, 12, 14, 17, 18, 21, 22, 23, 24, 25, 26, 27, 29, 30};{0, 4, 5, 7}
12;23;Player 1;75;0;0;-79;[3, 1, 2];20;1;True;;0;EC:Task: T += A+B;"{' WC Name: B,C=0; '}";;{0, 1, 2, 3, 5, 6, 9, 10, 11, 12, 14, 17, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30};{0, 3, 4, 5, 6, 7}
13;24;Player 0;50;10;75;49;[1, 2, 0, 3];19;1;True;;0;EC:Input:C =75;"{' WC Name: B=NULL; '}";;{0, 1, 2, 3, 5, 6, 9, 10, 11, 12, 14, 17, 19, 21, 22, 23, 24, 25, 26, 27, 29, 30};{0, 1, 4, 5, 6, 7}
13;25;Player 1;75;0;0;-79;[3, 1, 2];20;1;True;;0;EC:Task: T += A+B;"{' WC Name: C=NULL; '}";;{0, 1, 2, 3, 5, 6, 9, 10, 11, 12, 14, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30};{0, 2, 4, 5, 6, 7}
