roundnr;stepnr;player;A:0;B:1;C:2;Total:3;NULL vars;ec;nofworms;my decision;PC Status;count down paus;EC Name;WC Name;Winner	ecset;wormset
1;0;Player 0;52;0;0;0;[0];0;1;True;;0;EC:Input:2 digit number;"{' WC Name: A=NULL; '}";;{0};{0}
1;1;Player 1;0;20;0;0;;11;0;True;;0;EC:Input:B =20;;;{0, 11};{0}
2;2;Player 0;52;0;0;0;[0];33;0;True;;0;EC:Resource: Restart;;;{0, 33, 11};{0}
2;3;Player 1;5;20;0;0;;4;0;True;;0;EC:Input:A =5;;;{0, 33, 11, 4};{0}
3;4;Player 0;52;0;15;0;[0];16;0;True;;0;EC:Input:C =15;;;{0, 33, 4, 11, 16};{0}
3;5;Player 1;5;50;0;0;;13;0;True;;0;EC:Input:B =50;;;{0, 33, 4, 11, 13, 16};{0}
4;6;Player 0;52;0;5;0;[0];15;0;True;;0;EC:Input:C =5;;;{0, 33, 4, 11, 13, 15, 16};{0}
4;7;Player 1;0;-1;0;0;[2];27;2;True;;0;EC:Task: x = 2x ! total;"{' WC Name: A=0,B=-1,C=N ', ' WC Name: C=NULL; '}";;{0, 33, 4, 11, 13, 15, 16, 27};{0, 2, 7}
5;8;Player 0;52;10;5;0;[0];10;0;True;;0;EC:Input:B =10;;;{0, 33, 4, 10, 11, 13, 15, 16, 27};{0, 2, 7}
5;9;Player 1;50;-1;0;0;[2];7;0;True;;0;EC:Input:A =50;;;{0, 33, 4, 7, 10, 11, 13, 15, 16, 27};{0, 2, 7}
6;10;Player 0;43;10;5;-100;;1;1;True;;0;EC:Input:2 digit number<50;{' WC Name: T -=100 '};;{0, 33, 1, 4, 7, 10, 11, 13, 15, 16, 27};{0, 2, 4, 7}
6;11;Player 1;50;-1;22;0;;3;0;True;;0;EC:Input:2 digit number<30;;;{0, 33, 1, 3, 4, 7, 10, 11, 13, 15, 16, 27};{0, 2, 4, 7}
7;12;Player 0;43;10;-20;-42;;22;1;True;;0;EC:Task: T += A+B+C;{' WC Name: C=-20 '};;{0, 33, 1, 3, 4, 7, 10, 11, 13, 15, 16, 22, 27};{0, 2, 4, 7, 9}
